1,2.9108,4.2722
2,2.9236,4.3279
3,2.9364,4.3836
4,2.9492,4.4393
5,2.9621,4.495
6,2.9749,4.5508
7,2.9877,4.6065
8,3.0005,4.6622
9,3.0133,4.7179
10,3.0261,4.7736
11,3.0389,4.8293
12,3.0446,4.8766
13,3.0503,4.9238
14,3.056,4.9711
15,3.0616,5.0183
16,3.0673,5.0656
17,3.073,5.1128
18,3.0787,5.1601
19,3.0844,5.2073
20,3.0901,5.2546
21,3.0958,5.3018
22,3.0966,5.34
23,3.0975,5.3782
24,3.0984,5.4164
25,3.0993,5.4547
26,3.1002,5.4929
27,3.1011,5.5311
28,3.102,5.5693
29,3.1029,5.6075
30,3.1038,5.6457
31,3.1047,5.6839
32,3.1004,5.7015
33,3.0962,5.7191
34,3.092,5.7367
35,3.0878,5.7543
36,3.0836,5.7719
37,3.0794,5.7895
38,3.0751,5.8071
39,3.0709,5.8247
40,3.0667,5.8423
41,3.0625,5.8599
42,3.0572,5.8654
43,3.0518,5.871
44,3.0465,5.8766
45,3.0411,5.8821
46,3.0358,5.8877
47,3.0305,5.8933
48,3.0251,5.8989
49,3.0198,5.9044
50,3.0145,5.91
51,3.0091,5.9156
52,3.0041,5.9214
53,2.999,5.9273
54,2.994,5.9332
55,2.9889,5.939
56,2.9839,5.9449
57,2.9788,5.9507
58,2.9738,5.9566
59,2.9688,5.9625
60,2.9637,5.9683
61,2.9587,5.9742
62,2.9539,5.9803
63,2.9491,5.9865
64,2.9444,5.9926
65,2.9396,5.9988
66,2.9348,6.0049
67,2.9301,6.0111
68,2.9253,6.0172
69,2.9206,6.0234
70,2.9158,6.0295
71,2.911,6.0357
72,2.9065,6.0422
73,2.9021,6.0486
74,2.8976,6.0551
75,2.8931,6.0615
76,2.8886,6.068
77,2.8841,6.0744
78,2.8796,6.0809
79,2.8751,6.0873
80,2.8706,6.0938
81,2.8662,6.1002
82,2.8642,6.0995
83,2.8623,6.0988
84,2.8603,6.098
85,2.8583,6.0973
86,2.8564,6.0966
87,2.8544,6.0958
